pair,listener,crit_half,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
33,66,secondhalf,Two Contrasts Privileged,0.5714285714285714,0.5714285714285714,7,0,0
33,66,secondhalf,One Contrast,1,0.375,8,0,0
34,67,firsthalf,Two Contrasts Shared,0.8666666666666667,0.3333333333333333,15,0,0
34,67,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.7142857142857143,7,0,0
34,67,firsthalf,One Contrast,0.7142857142857143,0.2857142857142857,7,0,0
34,67,secondhalf,Two Contrasts Shared,0.9411764705882353,0.23529411764705882,17,0,0
34,67,secondhalf,Two Contrasts Privileged,0.7777777777777778,0.5555555555555556,9,0,0
34,67,secondhalf,One Contrast,1,0.125,8,0,0
34,68,firsthalf,Two Contrasts Shared,0.5,0.5714285714285714,14,0,0
34,68,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.5714285714285714,7,0,0
34,68,firsthalf,One Contrast,1,0.14285714285714285,7,0,0
34,68,secondhalf,Two Contrasts Shared,0.6875,0.5625,16,0,0
34,68,secondhalf,Two Contrasts Privileged,0.75,0.125,8,0,0
34,68,secondhalf,One Contrast,0.75,0.25,8,0,0
35,69,firsthalf,Two Contrasts Shared,0.9285714285714286,0.42857142857142855,14,0,0
35,69,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.5714285714285714,7,0,0
35,69,firsthalf,One Contrast,0.7142857142857143,0.42857142857142855,7,0,0
35,69,secondhalf,Two Contrasts Shared,0.8666666666666667,0.3333333333333333,15,0,0
35,69,secondhalf,Two Contrasts Privileged,0.875,0.5,8,0,0
35,69,secondhalf,One Contrast,1,0.4444444444444444,9,0,0
35,70,firsthalf,Two Contrasts Shared,0.8,0.3333333333333333,15,0,0
35,70,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.5714285714285714,7,0,0
35,70,firsthalf,One Contrast,1,0.2857142857142857,7,0,0
35,70,secondhalf,Two Contrasts Shared,0.6875,0.6875,16,0,0
35,70,secondhalf,Two Contrasts Privileged,0.8888888888888888,0.2222222222222222,9,0,0
35,70,secondhalf,One Contrast,1,0.2222222222222222,9,0,0
