pair,speaker,crit_half,crit_order_bin,condition,prop_size_adj_use,num_trials,num_NA
21,42,secondhalf,3,One Contrast Privileged,0,4,0
21,42,secondhalf,3,Two Contrasts Shared,1,8,0
21,42,secondhalf,4,No Contrast,0,5,0
21,42,secondhalf,4,One Contrast Privileged,0,5,0
21,42,secondhalf,4,Two Contrasts Shared,1,9,0
22,43,firsthalf,1,No Contrast,0,3,0
22,43,firsthalf,1,One Contrast Privileged,1,3,0
22,43,firsthalf,1,Two Contrasts Shared,1,7,0
22,43,firsthalf,2,No Contrast,0.25,4,0
22,43,firsthalf,2,One Contrast Privileged,1,4,0
22,43,firsthalf,2,Two Contrasts Shared,1,8,0
22,43,secondhalf,3,No Contrast,0.75,4,0
22,43,secondhalf,3,One Contrast Privileged,1,4,0
22,43,secondhalf,3,Two Contrasts Shared,1,8,0
22,43,secondhalf,4,No Contrast,0.4,5,0
22,43,secondhalf,4,One Contrast Privileged,1,5,0
22,43,secondhalf,4,Two Contrasts Shared,1,9,0
22,44,firsthalf,1,No Contrast,0,3,0
22,44,firsthalf,1,One Contrast Privileged,0,3,0
22,44,firsthalf,1,Two Contrasts Shared,1,7,0
22,44,firsthalf,2,No Contrast,0,4,0
22,44,firsthalf,2,One Contrast Privileged,0,4,0
22,44,firsthalf,2,Two Contrasts Shared,1,8,0
22,44,secondhalf,3,No Contrast,0,4,0
22,44,secondhalf,3,One Contrast Privileged,0,4,0
22,44,secondhalf,3,Two Contrasts Shared,1,8,0
22,44,secondhalf,4,No Contrast,0,5,0
22,44,secondhalf,4,One Contrast Privileged,0,5,0
22,44,secondhalf,4,Two Contrasts Shared,1,9,0
23,45,firsthalf,1,No Contrast,1,3,0
23,45,firsthalf,1,One Contrast Privileged,0.6666666666666666,3,0
23,45,firsthalf,1,Two Contrasts Shared,0.8571428571428571,7,0
23,45,firsthalf,2,No Contrast,0.25,4,0
23,45,firsthalf,2,One Contrast Privileged,0.25,4,0
23,45,firsthalf,2,Two Contrasts Shared,1,8,0
23,45,secondhalf,3,No Contrast,0.25,4,0
23,45,secondhalf,3,One Contrast Privileged,0.25,4,0
23,45,secondhalf,3,Two Contrasts Shared,1,8,0
23,45,secondhalf,4,No Contrast,0,5,0
23,45,secondhalf,4,One Contrast Privileged,0.2,5,0
23,45,secondhalf,4,Two Contrasts Shared,1,9,0
23,46,firsthalf,1,No Contrast,0.3333333333333333,3,0
23,46,firsthalf,1,One Contrast Privileged,1,3,0
23,46,firsthalf,1,Two Contrasts Shared,1,7,0
23,46,firsthalf,2,No Contrast,0,4,0
23,46,firsthalf,2,One Contrast Privileged,0,4,0
23,46,firsthalf,2,Two Contrasts Shared,1,8,0
23,46,secondhalf,3,No Contrast,0,4,0
23,46,secondhalf,3,One Contrast Privileged,0,4,0
23,46,secondhalf,3,Two Contrasts Shared,1,8,0
23,46,secondhalf,4,No Contrast,0,5,0
